Year,Date,DOY,Tree_ID,Ypd,Ymd
2011,2011-03-10,69,P001,-0.87,NA
2011,2011-03-10,69,P002,-0.74,NA
2011,2011-03-10,69,P003,-0.79,NA
2011,2011-03-10,69,P004,-0.87,NA
2011,2011-03-10,69,P005,-0.74,NA
2011,2011-03-10,69,P006,-0.82,NA
2011,2011-03-10,69,P007,-0.84,NA
2011,2011-03-10,69,P008,-0.99,NA
2011,2011-03-10,69,P009,-0.83,NA
2011,2011-03-10,69,P010,-0.8,NA
2011,2011-03-10,69,P011,-1.05,NA
2011,2011-03-10,69,P013,-0.85,NA
2011,2011-03-10,69,P014,-0.97,NA
2011,2011-03-10,69,P015,-1.3,NA
2011,2011-03-10,69,P016,-0.95,NA
2011,2011-03-10,69,P017,-1.15,NA
2011,2011-03-10,69,P018,-0.89,NA
2011,2011-03-10,69,P020,-0.75,NA
2011,2011-03-10,69,P021,-0.77,NA
2011,2011-03-10,69,P022,-0.83,NA
2011,2011-03-10,69,P023,-0.34,NA
2011,2011-03-10,69,P024,-0.46,NA
2011,2011-03-10,69,P025,-0.16,NA
2011,2011-03-10,69,P026,-0.24,NA
2011,2011-03-10,69,P027,-1.04,NA
2011,2011-03-10,69,P028,-0.89,NA
2011,2011-03-10,69,P029,-0.73,NA
2011,2011-03-10,69,P030,-0.89,NA
2011,2011-03-10,69,P031,-0.95,NA
2011,2011-03-10,69,P032,-0.56,NA
2011,2011-03-10,69,J101,-1.08,NA
2011,2011-03-10,69,J102,-1.47,NA
2011,2011-03-10,69,J103,-1.07,NA
2011,2011-03-10,69,J104,-1.36,NA
2011,2011-03-10,69,J105,-1.68,NA
2011,2011-03-10,69,J106,-0.93,NA
2011,2011-03-10,69,J107,-1.51,NA
2011,2011-03-10,69,J108,-1.05,NA
2011,2011-03-10,69,J109,-1.5,NA
2011,2011-03-10,69,J110,-0.98,NA
2011,2011-03-10,69,J111,-1.38,NA
2011,2011-03-10,69,J112,-1.55,NA
2011,2011-03-10,69,J113,-1.55,NA
2011,2011-03-10,69,J114,-1.05,NA
2011,2011-03-10,69,J115,-1.2,NA
2011,2011-03-10,69,J116,-1.18,NA
2011,2011-03-10,69,J117,-1.2,NA
2011,2011-03-10,69,J118,-1.23,NA
2011,2011-03-10,69,J119,-1.34,NA
2011,2011-03-10,69,J120,-1.1,NA
2011,2011-03-10,69,J121,-1.11,NA
2011,2011-03-10,69,J122,-1.22,NA
2011,2011-03-10,69,J123,-1.03,NA
2011,2011-03-10,69,J124,-1.14,NA
2011,2011-03-10,69,J125,-1.65,NA
2011,2011-03-10,69,J126,-1.56,NA
2011,2011-03-10,69,J127,-1.6,NA
2011,2011-03-10,69,J128,-1.11,NA
2011,2011-03-10,69,J129,-1.94,NA
2011,2011-03-10,69,J130,-0.77,NA
2011,2011-03-10,69,J131,-1.24,NA
